modelo,total,(nenhuma),(parse_error),ANDAR,ATACAR,COLETAR,EXPLORAR,FALAR,NADA,OLHAR,PARAR,PULAR,SEGUIR
gemma3:1b,297,0,10,42,0,54,149,17,1,14,10,0,0
qwen3.5:2b,201,11,190,0,0,0,0,0,0,0,0,0,0
llama3.2:latest,124,0,1,6,1,17,53,11,3,15,6,0,11
qwen2.5:0.5b,116,1,27,13,0,52,1,5,1,7,6,1,2
qwen3.5:2b-mlx,107,0,107,0,0,0,0,0,0,0,0,0,0
gemma3:4b,94,0,0,4,0,30,21,13,0,6,10,0,10
qwen3.5:4b,76,0,76,0,0,0,0,0,0,0,0,0,0
gemma4:12b,52,4,48,0,0,0,0,0,0,0,0,0,0
granite4.1:3b,38,9,1,9,0,5,7,0,0,2,1,0,4
smollm2:135m,36,36,0,0,0,0,0,0,0,0,0,0,0
granite4.1:8b,29,0,0,2,0,6,4,9,0,2,1,0,5
qwen3.5:latest,15,15,0,0,0,0,0,0,0,0,0,0,0
ornith:9b,3,2,1,0,0,0,0,0,0,0,0,0,0
ministral-3:8b,2,0,1,0,0,0,0,0,0,1,0,0,0
pdevine/lfm2.5:8b-a1b-q4_K_M,1,0,1,0,0,0,0,0,0,0,0,0,0
lfm2.5-thinking:latest,1,0,1,0,0,0,0,0,0,0,0,0,0
qwen3.5:0.8b,1,0,1,0,0,0,0,0,0,0,0,0,0
