modelo,ciclos,latencia_media_ms,latencia_p50_ms,latencia_p95_ms,latencia_dp_ms,ttft_medio_ms,ttft_p50_ms,tokens_s_medio,tokens_s_p50,tokens_entrada_medio,tokens_saida_medio,json_valido_pct,json_reparado_pct,acao_sucesso_pct,erro_llm_pct
gemma3:1b,297,2385.6,2286.4,2994.2,1689.5,2250.0,2151.0,54.37,54.31,1384.3,113.1,96.6,2.0,95.8,0.0
qwen3.5:2b,201,25296.2,19721.4,44359.2,13321.3,25171.0,19649.5,14.87,13.40,1187.6,256.0,0.0,0.5,,5.5
llama3.2:latest,124,6942.0,5728.7,10076.7,8375.1,7000.8,5566.0,17.68,18.34,1566.8,103.2,99.2,8.9,95.9,0.0
qwen2.5:0.5b,116,9891.7,9691.4,14001.0,2403.2,9766.7,9537.0,12.42,12.08,1487.1,116.1,76.5,7.8,71.6,0.9
qwen3.5:2b-mlx,107,5096.0,4831.3,7768.2,908.4,4972.9,4689.0,52.67,54.60,1153.6,256.0,0.0,0.0,,0.0
gemma3:4b,94,4280.8,4216.6,4822.7,327.9,4176.8,4151.0,25.87,25.80,1258.6,108.2,100.0,0.0,89.4,0.0
qwen3.5:4b,76,49434.1,26550.4,108244.8,34842.0,49508.1,25497.0,7.85,9.72,1169.5,256.0,0.0,0.0,,0.0
gemma4:12b,52,19985.2,19741.4,21262.4,1856.5,20031.2,19642.0,12.90,13.02,1131.8,256.0,0.0,0.0,,7.7
granite4.1:3b,38,24366.4,24321.5,31595.1,4239.4,24214.4,24052.0,5.52,5.53,1280.5,133.1,96.6,0.0,89.3,23.7
smollm2:135m,36,,,,,,,,,,,,,,100.0
granite4.1:8b,29,74343.8,76753.0,107656.0,19128.6,74221.3,76695.0,2.23,2.17,1364.3,164.3,100.0,3.4,79.3,0.0
qwen3.5:latest,15,,,,,,,,,,,,,,100.0
ornith:9b,3,87575.1,87575.1,87575.1,,81498.0,81498.0,3.14,3.14,1176.0,256.0,0.0,0.0,,66.7
ministral-3:8b,2,69874.7,69874.7,77476.2,11944.6,69603.5,69603.5,3.68,3.68,994.5,251.5,50.0,50.0,100.0,0.0
pdevine/lfm2.5:8b-a1b-q4_K_M,1,56797.2,56797.2,56797.2,,56567.0,56567.0,4.53,4.53,1027.0,256.0,0.0,0.0,,0.0
lfm2.5-thinking:latest,1,14476.3,14476.3,14476.3,,15100.0,15100.0,16.95,16.95,1065.0,256.0,0.0,0.0,,0.0
qwen3.5:0.8b,1,36807.3,36807.3,36807.3,,38331.0,38331.0,6.68,6.68,955.0,256.0,0.0,0.0,,0.0
