modelo,hardware,ciclos,latencia_media_ms,latencia_p50_ms,latencia_p95_ms,latencia_dp_ms,ttft_medio_ms,ttft_p50_ms,tokens_s_medio,tokens_s_p50,tokens_entrada_medio,tokens_saida_medio,json_valido_pct,json_reparado_pct,acao_sucesso_pct,erro_llm_pct
gemma3:1b,NVIDIA GeForce RTX 2050 / 16GB RAM,187,2700.7,2443.0,3116.0,1850.5,2573.4,2341.0,51.72,52.55,1402.1,124.1,100.0,0.0,96.3,0.0
llama3.2:latest,Apple M2 / 8GB RAM,124,6942.0,5728.7,10076.7,8375.1,7000.8,5566.0,17.68,18.34,1566.8,103.2,99.2,8.9,95.9,0.0
qwen2.5:0.5b,AMD Radeon(TM) Graphics / 7GB RAM,116,9891.7,9691.4,14001.0,2403.2,9766.7,9537.0,12.42,12.08,1487.1,116.1,76.5,7.8,71.6,0.9
gemma3:1b,Apple M3 Pro / 18GB RAM,110,1849.9,1715.5,2176.9,1203.4,1700.3,1588.5,58.86,60.09,1353.9,94.3,90.9,5.5,95.0,0.0
qwen3.5:2b-mlx,Apple M2 Pro / 16GB RAM,107,5096.0,4831.3,7768.2,908.4,4972.9,4689.0,52.67,54.60,1153.6,256.0,0.0,0.0,,0.0
gemma3:4b,Apple M2 Pro / 16GB RAM,94,4280.8,4216.6,4822.7,327.9,4176.8,4151.0,25.87,25.80,1258.6,108.2,100.0,0.0,89.4,0.0
qwen3.5:2b,CPU only / 24GB RAM,77,14748.4,14543.1,15882.2,1156.6,14656.9,14480.0,17.55,17.68,1225.1,256.0,0.0,0.0,,0.0
qwen3.5:2b,Intel(R) Iris(R) Xe Graphics / 16GB RAM,60,37697.1,37227.4,45976.1,3933.9,37591.6,37087.5,6.88,6.90,1205.0,256.0,0.0,1.7,,0.0
gemma4:12b,Apple M3 Pro / 18GB RAM,52,19985.2,19741.4,21262.4,1856.5,20031.2,19642.0,12.90,13.02,1131.8,256.0,0.0,0.0,,7.7
qwen3.5:4b,NVIDIA GeForce RTX 2050 / 16GB RAM,50,25090.1,22744.3,35553.4,4636.1,24761.0,22647.0,10.53,11.30,1147.0,256.0,0.0,0.0,,0.0
granite4.1:3b,CPU only / 10GB RAM,38,24366.4,24321.5,31595.1,4239.4,24214.4,24052.0,5.52,5.53,1280.5,133.1,96.6,0.0,89.3,23.7
smollm2:135m,Intel(R) Iris(R) Xe Graphics / 8GB RAM,36,,,,,,,,,,,,,,100.0
qwen3.5:2b,Apple M3 Pro / 18GB RAM,30,6265.6,5987.3,7250.6,1159.9,6050.9,5743.0,43.19,44.58,1031.2,256.0,0.0,0.0,,36.7
granite4.1:8b,NVIDIA GeForce GTX 1650 / 14GB RAM,29,74343.8,76753.0,107656.0,19128.6,74221.3,76695.0,2.23,2.17,1364.3,164.3,100.0,3.4,79.3,0.0
qwen3.5:4b,CPU only / 15GB RAM,26,96249.6,99225.8,113597.0,11625.3,96146.8,99190.5,2.70,2.58,1212.8,256.0,0.0,0.0,,0.0
qwen3.5:2b,CPU only / 16GB RAM,24,38558.1,37423.2,58259.4,9955.6,38340.9,37131.0,7.04,6.90,1216.7,256.0,0.0,0.0,,0.0
qwen3.5:latest,CPU only / 7GB RAM,15,,,,,,,,,,,,,,100.0
qwen3.5:2b,CPU only / 10GB RAM,10,36437.6,35657.9,41034.2,3052.0,36326.3,35591.0,7.09,7.19,1021.6,256.0,0.0,0.0,,0.0
ornith:9b,CPU only / 10GB RAM,3,87575.1,87575.1,87575.1,,81498.0,81498.0,3.14,3.14,1176.0,256.0,0.0,0.0,,66.7
ministral-3:8b,NVIDIA GeForce GTX 1650 / 14GB RAM,2,69874.7,69874.7,77476.2,11944.6,69603.5,69603.5,3.68,3.68,994.5,251.5,50.0,50.0,100.0,0.0
pdevine/lfm2.5:8b-a1b-q4_K_M,CPU only / 18GB RAM,1,56797.2,56797.2,56797.2,,56567.0,56567.0,4.53,4.53,1027.0,256.0,0.0,0.0,,0.0
lfm2.5-thinking:latest,CPU only / 4GB RAM,1,14476.3,14476.3,14476.3,,15100.0,15100.0,16.95,16.95,1065.0,256.0,0.0,0.0,,0.0
qwen3.5:0.8b,CPU only / 4GB RAM,1,36807.3,36807.3,36807.3,,38331.0,38331.0,6.68,6.68,955.0,256.0,0.0,0.0,,0.0
