modelo,acoes_validas,acao_sucesso_pct,execucao_p50_ms,acao_favorita,favorita_pct,entropia_bits
gemma3:1b,287,95.8,0.4,EXPLORAR,51.9,2.0015
qwen3.5:2b,0,,,,,
llama3.2:latest,123,95.9,0.6,EXPLORAR,43.1,2.5234
qwen2.5:0.5b,88,71.6,1683.5,COLETAR,59.1,1.9901
qwen3.5:2b-mlx,0,,,,,
gemma3:4b,94,89.4,0.7,COLETAR,31.9,2.5386
qwen3.5:4b,0,,,,,
gemma4:12b,0,,,,,
granite4.1:3b,28,89.3,0.2,ANDAR,32.1,2.3148
smollm2:135m,0,,,,,
granite4.1:8b,29,79.3,0.6,FALAR,31.0,2.5253
qwen3.5:latest,0,,,,,
ornith:9b,0,,,,,
ministral-3:8b,1,100.0,1.1,OLHAR,100.0,0.0000
pdevine/lfm2.5:8b-a1b-q4_K_M,0,,,,,
lfm2.5-thinking:latest,0,,,,,
qwen3.5:0.8b,0,,,,,
